Relation|RowGroup|Column|uncompressed|bb_compressed|c3_compressed|compression_ratio_improvement|bb_cr|c3_cr|datatype|C3_source_target|C3scheme|source_column|target_column|bb_source_ecr|bb_target_ecr|c3_source_ecr|c3_target_ecr|estimated_bytes_saved_source|estimated_bytes_saved_target|source_bb_scheme|target_bb_scheme|source_unique_count|target_unique_count|estimated_exception_count|real_exception_count|estimated_exception_size|real_exception_size|exception_compression_ratio|estimated_source_target_dict_size|real_source_target_dict_size|source_target_dict_compression_ratio|estimated_target_dict_size|real_target_dict_size|target_dict_compression_ratio|pearson_corr_coef|source_column_min|source_column_max|target_column_min|target_column_max|source_null_count|target_null_count|estimated_target_compressed_codes_size|real_target_compressed_codes_size|estimated_offsets_size|real_offsets_size|estimated_target_nullmap_size|real_target_nullmap_size
CommonGovernment_1|0|2_a_aid_acontid_agencyid|524292|62986|33572|1.87615|8.32395|15.6169|string|target|Dict_Sharing|47|1|11.310743|8.323813|11.254583|16.658998|-208|31514|-1|-1|109|131|-1|-1|-1|-1|-1.000000|1081|1097|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|0|0|31472|33560|-1|-1|-1|-1||47|1
CommonGovernment_1|0|3_a_aid_acontid_piid|966447|529121|529145|0.999955|1.82651|1.82643|string|None|None||||||||||||||||||||||||||||||||||||
CommonGovernment_1|0|4_ag_name|3538948|40481|40505|0.999407|87.4224|87.3706|string|None|None||||||||||||||||||||||||||||||||||||
CommonGovernment_1|0|5_agency_code|393220|40921|25129|1.62844|9.60925|15.6481|string|source|Dict_Sharing|4|16|9.609247|9.492794|9.602208|17.075734|-30|18395|-1|-1|39|44|-1|-1|-1|-1|-1.000000|268|284|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|0|0|23028|24252|-1|-1|-1|-1||4|16
CommonGovernment_1|0|6_ase_rowid|262144|155296|155320|0.999845|1.68803|1.68777|integer|None|None||||||||||||||||||||||||||||||||||||
CommonGovernment_1|0|7_award_type|1163451|14291|14315|0.998323|81.4114|81.275|string|None|None||||||||||||||||||||||||||||||||||||
CommonGovernment_1|0|8_award_type_code|327684|14228|155356|0.0915832|23.0309|2.10925|string|source|Dict_Sharing|7|52|23.030925|3.287513|2.309569|8.490810|-127653|157249|-1|-1|5|11231|-1|-1|-1|-1|-1.000000|127682|143363|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|0|0|99352|113264|-1|-1|-1|-1||7|52
CommonGovernment_1|0|9_award_type_key|262144|214|238|0.89916|1224.97|1101.45|integer|None|None||||||||||||||||||||||||||||||||||||
CommonGovernment_1|0|10_baseandalloptionsvalue|524288|286405|286429|0.999916|1.83058|1.83043|double|None|None||||||||||||||||||||||||||||||||||||
CommonGovernment_1|0|11_baseandexercisedoptionsvalue|524288|294649|294673|0.999919|1.77936|1.77922|double|None|None||||||||||||||||||||||||||||||||||||
CommonGovernment_1|0|12_bureau_code|393220|29641|29665|0.999191|13.2661|13.2554|string|None|None||||||||||||||||||||||||||||||||||||
CommonGovernment_1|0|13_bureau_name|2883588|60307|60331|0.999602|47.8151|47.7961|string|None|None||||||||||||||||||||||||||||||||||||
CommonGovernment_1|0|14_cd_contactiontype|327684|14228|14252|0.998316|23.0309|22.9921|string|None|None||||||||||||||||||||||||||||||||||||
CommonGovernment_1|0|15_co_name|3145681|156335|156359|0.999847|20.1214|20.1183|string|None|None||||||||||||||||||||||||||||||||||||
CommonGovernment_1|0|16_co_state|391900|44641|44665|0.999463|8.77893|8.77421|string|None|None||||||||||||||||||||||||||||||||||||
CommonGovernment_1|0|17_code|393220|41423|24264|1.70718|9.49279|16.2059|string|target|Dict_Sharing|4|16|9.609247|9.492794|9.602208|17.075734|-30|18395|-1|-1|39|44|-1|-1|-1|-1|-1.000000|268|284|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|0|0|23028|24252|-1|-1|-1|-1||4|16
CommonGovernment_1|0|18_contract_num|3489098|1154897|1154921|0.999979|3.02113|3.02107|string|None|None||||||||||||||||||||||||||||||||||||
CommonGovernment_1|0|19_contract_signeddate|1572868|66331|66355|0.999638|23.7124|23.7038|string|None|None||||||||||||||||||||||||||||||||||||
CommonGovernment_1|0|20_contractingofficeagencyid|524292|57915|57939|0.999586|9.05278|9.04903|string|None|None||||||||||||||||||||||||||||||||||||
CommonGovernment_1|0|21_count_fetched|262144|60270|63060|0.955756|4.34949|4.15706|integer|target|Dict_Sharing|23|20|10.265262|4.349494|9.472916|6.659486|-2135|20906|-1|-1|7|536|-1|-1|-1|-1|-1.000000|2164|2176|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|4193|0|39364|63048|-1|-1|-1|-1||23|20
CommonGovernment_1|0|22_count_total|262144|60270|60896|0.98972|4.34949|4.30478|integer|target|Dict_Sharing|0|21|65536.000000|4.349494|62.222644|7.692922|-4209|26194|-1|-1|1|536|-1|-1|-1|-1|-1.000000|2148|2160|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|0|0|34076|60884|-1|-1|-1|-1||0|21
CommonGovernment_1|0|23_description|2864853|39706|39730|0.999396|72.1516|72.1081|string|None|None||||||||||||||||||||||||||||||||||||
CommonGovernment_1|0|24_fk_epa_des_prod|262144|29101|24281|1.19851|9.00808|10.7963|integer|source|Dict_Sharing|23|20|10.265262|4.349494|9.472916|6.659486|-2135|20906|-1|-1|7|536|-1|-1|-1|-1|-1.000000|2164|2176|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|4193|0|39364|63048|-1|-1|-1|-1||23|20
CommonGovernment_1|0|25_fk_rec_mat|262144|29589|29613|0.99919|8.85951|8.85233|integer|None|None||||||||||||||||||||||||||||||||||||
CommonGovernment_1|0|26_ftsdollar|524288|42|66|0.636364|12483|7943.76|double|None|None||||||||||||||||||||||||||||||||||||
CommonGovernment_1|0|27_funding_agency|524256|41987|42011|0.999429|12.4862|12.479|string|None|None||||||||||||||||||||||||||||||||||||
CommonGovernment_1|0|28_funding_agency_key|262144|4866|4890|0.995092|53.8726|53.6082|integer|None|None||||||||||||||||||||||||||||||||||||
CommonGovernment_1|0|29_funding_agency_name|2883588|39475|39499|0.999392|73.0485|73.0041|string|None|None||||||||||||||||||||||||||||||||||||
CommonGovernment_1|0|30_gsadollar|524288|62521|62545|0.999616|8.38579|8.38257|double|None|None||||||||||||||||||||||||||||||||||||
CommonGovernment_1|0|31_gsaotherdollar|524288|55509|14264|3.89155|9.4451|36.756|double|target|Dict_Sharing|31|30|17476.266667|9.445099|19.676787|45.669686|-26615|44029|-1|-1|2|3071|-1|-1|-1|-1|-1.000000|24576|24588|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|0|0|11480|14252|-1|-1|-1|-1||31|30
CommonGovernment_1|0|32_gwacs|524288|30|26677|0.00112456|17476.3|19.6532|double|source|Dict_Sharing|31|30|17476.266667|9.445099|19.676787|45.669686|-26615|44029|-1|-1|2|3071|-1|-1|-1|-1|-1.000000|24576|24588|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|0|0|11480|14252|-1|-1|-1|-1||31|30
CommonGovernment_1|0|33_level1_category|1793319|11506|11530|0.997918|155.859|155.535|string|None|None||||||||||||||||||||||||||||||||||||
CommonGovernment_1|0|34_level2_category|1936071|33175|33199|0.999277|58.3593|58.3171|string|None|None||||||||||||||||||||||||||||||||||||
CommonGovernment_1|0|35_naics_code|655364|84371|84395|0.999716|7.76765|7.76544|string|None|None||||||||||||||||||||||||||||||||||||
