Relation|RowGroup|Column|uncompressed|bb_compressed|c3_compressed|compression_ratio_improvement|bb_cr|c3_cr|datatype|C3_source_target|C3scheme|source_column|target_column|bb_source_ecr|bb_target_ecr|c3_source_ecr|c3_target_ecr|estimated_bytes_saved_source|estimated_bytes_saved_target|source_bb_scheme|target_bb_scheme|source_unique_count|target_unique_count|estimated_exception_count|real_exception_count|estimated_exception_size|real_exception_size|exception_compression_ratio|estimated_source_target_dict_size|real_source_target_dict_size|source_target_dict_compression_ratio|estimated_target_dict_size|real_target_dict_size|target_dict_compression_ratio|pearson_corr_coef|source_column_min|source_column_max|target_column_min|target_column_max|source_null_count|target_null_count|estimated_target_compressed_codes_size|real_target_compressed_codes_size|estimated_offsets_size|real_offsets_size|estimated_target_nullmap_size|real_target_nullmap_size
CMSprovider_1|0|5_BENE_UNIQUE_CNT|262144|64393|69545|0.925918|4.071|3.76942|integer|target|DFOR|8|4|6.417469|4.071571|6.417469|8.808306|0|34623|BP|BP|1263|794|-1|-1|-1|-1|-1.000000|5053|5064|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|0|4749|1|1|24708|64465|-1|-1|-1|-1||8|4
CMSprovider_1|0|6_HCPCS_CODE|589823|100977|83299|1.21222|5.84116|7.08079|string|source|Dict_1to1|5|6|5.841683|23.456917|5.841683|41.456447|0|75654|-1|-1|1521|1439|0|0|8|-1|-1.000000|6096|6096|0.998031|92476|92495|0.999827|-1.000000|-1|-1|-1|-1|1|1|-1|-1|-1|-1|-1|9||5|6
CMSprovider_1|0|7_HCPCS_DESCRIPTION|4087274|174255|98630|1.76675|23.4557|41.4405|string|target|Dict_1to1|5|6|5.841683|23.456917|5.841683|41.456447|0|75654|-1|-1|1521|1439|0|0|8|-1|-1.000000|6096|6096|0.998031|92476|92495|0.999827|-1.000000|-1|-1|-1|-1|1|1|-1|-1|-1|-1|-1|9||5|6
CMSprovider_1|0|8_HCPCS_DRUG_INDICATOR|327683|10301|2119|4.86126|31.8108|154.64|string|source|Dict_1toN|7|18|31.838613|3.984367|31.838613|7.218873|0|64633|-1|-1|1|2535|-1|-1|-1|-1|-1.000000|46919|46939|0.999659|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|1|38889|32672|95017|8|20|-1|-1||7|18
CMSprovider_1|0|9_LINE_SRVC_CNT|524288|81706|87270|0.936244|6.41676|6.00765|double|source|DFOR|8|3|6.417469|3.810454|6.417469|12.144730|0|47211|-1|BP|1263|1210|-1|-1|-1|-1|-1.000000|5053|5064|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|0|8539|1|1|16532|64401|-1|-1|-1|-1||8|3
CMSprovider_1|0|10_MEDICARE_PARTICIPATION_INDICATOR|327683|18010|1617|11.1379|18.1945|202.649|string|target|Dict_1to1|21|9|30.304541|18.203600|30.304541|199.441875|0|16358|BP|-1|2|2|200|188|1600|1528|0.984293|20|20|0.400000|11|30|0.466667|-1.000000|-1|-1|-1|-1|1|1|-1|-1|-1|-1|-1|9||21|9
CMSprovider_1|0|11_NPI|262144|175477|253940|0.691018|1.49389|1.03231|integer|target|DFOR|5|10|5.841683|1.493894|5.841683|1.917365|0|38756|BP|BP|1521|14681|-1|-1|-1|-1|-1.000000|6085|6096|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|1|1992983688|1|0|130636|247828|-1|-1|-1|-1||5|10
CMSprovider_1|0|12_NPPES_CREDENTIALS|476945|77944|60507|1.28818|6.11907|7.88248|string|target|Dict_1toN|7|11|31.838613|6.346151|31.838613|15.965221|0|45281|-1|-1|1|436|-1|-1|-1|-1|-1.000000|5480|5500|0.997091|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|1|1386|24368|54969|8|20|-1|-1||7|11
CMSprovider_1|0|13_NPPES_ENTITY_CODE|327683|10322|741|13.9298|31.7461|442.217|string|target|Dict_1to1|22|12|28.803319|31.773781|28.803319|978.158209|0|9978|BP|-1|73|2|0|43|8|368|0.934783|304|304|0.960526|11|30|0.466667|-1.000000|-1|-1|-1|-1|1|1|-1|-1|-1|-1|-1|9||22|12
CMSprovider_1|0|14_NPPES_PROVIDER_CITY|856974|111579|49750|2.24279|7.68042|17.2256|string|target|Dict_1to1|19|13|2.013379|7.681043|2.013379|17.779544|0|63370|BP|-1|6757|1599|0|203|144|1648|0.985437|27040|27040|0.999556|21004|21023|0.999239|-1.000000|-1|-1|-1|-1|18|1|-1|-1|-1|-1|-1|9||19|13
